店舗名,店舗住所,業種
女体山パーラー店 女体山パーラー,つくば市 筑波 1,飲食 / 飲食店・喫茶店
仲の茶屋 ,つくば市 筑波 1,飲食 / 飲食店・喫茶店
めをと茶屋 ,つくば市 筑波 1,飲食 / 飲食店・喫茶店
日升庵 cafe日升庵,つくば市 筑波 1221-3,飲食 / 飲食店・喫茶店
つつじヶ丘レストハウス店 つつじヶ丘レストハウス 旧,つくば市 筑波 1番地,飲食 / 飲食店・喫茶店
コマ展望台店 コマ展望台 旧,つくば市 筑波 1番地,飲食 / 飲食店・喫茶店
お食事処 神田家 お食事処 神田家,つくば市 筑波 722番,飲食 / 飲食店・喫茶店
自家製麺名無し 自家製麺 名無し,つくば市 北条 4093,飲食 / 飲食店・喫茶店
茶房 佳風 ,つくば市 北条 4462-11,飲食 / 飲食店・喫茶店
食楽酒家 彩菜 ,つくば市 北条 5043-3,飲食 / 飲食店・喫茶店
ヘラディワカレー北条店 ヘラディワカレー北条店,つくば市 北条5124-2,飲食 / 居酒屋・パブ・バー
モッツバー高の家 研究学園店 つくば本店,つくば市研究学園5-15-9,飲食 / 居酒屋・パブ・バー
alecole alecole,つくば市 さくらの森10-3 YA-style 1C号室,飲食 / 居酒屋・パブ・バー
炭火焼鳥 鳥よし 炭火焼鳥 鳥よし,つくば市 みどりの1-1-4 グランドパレスNS10,飲食 / 居酒屋・パブ・バー
バンブーカフェ バンブーカフェ,つくば市 みどりの1-32-1 ウェルシアテナント,飲食 / 居酒屋・パブ・バー
hanocoffee hanocoffee,つくば市 みどりの1-6-2 グランシャリオみどりの4 302,飲食 / 居酒屋・パブ・バー
ペゴペゴキッチン ペゴペゴキッチン,つくば市 みどりの中央 11-3 ウイングマルシェみどりの 201,飲食 / 居酒屋・パブ・バー
Piacere Piacere,つくば市 みどりの中央11-3,飲食 / 居酒屋・パブ・バー
レストランイイノ レストランイイノ,つくば市 みどりの中央82-6 みどりのグランデプラザII A号室,飲食 / 居酒屋・パブ・バー
BISTROT CADEAUX BISTROT CADEAUX,つくば市 みどりの東3-5,飲食 / 居酒屋・パブ・バー
チムニー・ギオット チムニー・ギオット,つくば市 稲荷前27-2,飲食 / 居酒屋・パブ・バー
居酒屋藤 ,つくば市 遠東 764 東山住宅14,飲食 / 居酒屋・パブ・バー
LOCABONA 低糖質料理とワイン ロカボナ,つくば市 下萱丸476-1,飲食 / 居酒屋・パブ・バー
伊太利亜台所 つくば店 伊太利亜台所 つくば店,つくば市 下原481-2,飲食 / 居酒屋・パブ・バー
沖縄ダイニング ぱいかじ ,つくば市 下広岡 1061-59 KONAハウス 103,飲食 / 居酒屋・パブ・バー
備長 ,つくば市 下広岡 353-1,飲食 / 居酒屋・パブ・バー
炭火ハンバーグ肉焼き亭 ,つくば市 下広岡1040ー6,飲食 / 居酒屋・パブ・バー
広岡商店 広岡商店,つくば市 下広岡1055-183,飲食 / 居酒屋・パブ・バー
にっちのキッチン にっちのキッチン,つくば市 下広岡498-1,飲食 / 居酒屋・パブ・バー
炭火焼鳥 とり福 とり福,つくば市 花室 1003-4,飲食 / 居酒屋・パブ・バー
カラオケ居酒屋 最上 ,つくば市 花室 1225-1,飲食 / 居酒屋・パブ・バー
アンプルール アンプルール,つくば市 花室981,飲食 / 居酒屋・パブ・バー
シャンドゥフルール シャンドゥフルール,つくば市 花畑2丁目7-16,飲食 / 居酒屋・パブ・バー
花・花 ,つくば市 花畑3-13-10 山口ビル101,飲食 / 居酒屋・パブ・バー
かふね かふね,つくば市 学園の森1-37-2,飲食 / 居酒屋・パブ・バー
つくばブルワリー つくばブルワリー,つくば市 学園の森3-29-6,飲食 / 居酒屋・パブ・バー
ジンホアつくば店 ジンホアつくば店,つくば市 学園南1ー11ー3,飲食 / 居酒屋・パブ・バー
シュラスコBつくば店 シュラスコBつくば店,つくば市 学園南1-11-4,飲食 / 居酒屋・パブ・バー
台湾カフェ小玉 台湾カフェ小玉,つくば市 吉瀬1876-1,飲食 / 居酒屋・パブ・バー
定越食堂 定越食堂,つくば市 金田2144-2,飲食 / 居酒屋・パブ・バー
蔵日和 蔵日和,つくば市 金田38-1,飲食 / 居酒屋・パブ・バー
cafe poetica cafe poetica,つくば市 栗原5157-1,飲食 / 居酒屋・パブ・バー
ステーキ居酒屋チャンプ ,つくば市 茎崎 1815-50−101,飲食 / 居酒屋・パブ・バー
縁むすび 研究学園本店,つくば市 研究学園 1丁目2番15号 AJ-HILLS・E,飲食 / 居酒屋・パブ・バー
彩鳥鶏 彩鳥鶏,つくば市 研究学園 4-2-14 エビスタウン,飲食 / 居酒屋・パブ・バー
肉ワインバル YUTAKA 研究学園店,つくば市 研究学園 4-2-14 エビスタウン2F,飲食 / 居酒屋・パブ・バー
Link研究学園店 Link研究学園店,つくば市 研究学園 4-2-14 エビスタウンB202,飲食 / 居酒屋・パブ・バー
くしやバルえちぜん くしやバル えちぜん,つくば市 研究学園 5-14-10,飲食 / 居酒屋・パブ・バー
鳥のや總本店 研究学園店,つくば市 研究学園 5-14-10 フロンティアコンフォート102,飲食 / 居酒屋・パブ・バー
和っ牛 ,つくば市 研究学園 5-14-3 リベルタ1階,飲食 / 居酒屋・パブ・バー
アムハイン ビアーズ ,つくば市 研究学園 5-14-3 リベルタ2階B,飲食 / 居酒屋・パブ・バー
馬肉の一九 研究学園店,つくば市 研究学園 5-15-14,飲食 / 居酒屋・パブ・バー
TORIBAR ,つくば市 研究学園 5-15-2 グレーシア1F,飲食 / 居酒屋・パブ・バー
魚とナポリピザ BISTORO HAMA-TIME 研究学園店,つくば市 研究学園 5-1-7,飲食 / 居酒屋・パブ・バー
UTA×BAN 研究学園店,つくば市 研究学園 5-5-1 Liebe4F,飲食 / 居酒屋・パブ・バー
fabric lounge SIX ,つくば市 研究学園 5-5-1 Liebe研究学園5F,飲食 / 居酒屋・パブ・バー
Bar XXX ,つくば市 研究学園 5-6-6 D12-208,飲食 / 居酒屋・パブ・バー
BAR L'avenir ,つくば市 研究学園 5-6-6 D12ビル 203,飲食 / 居酒屋・パブ・バー
居酒屋はないち ,つくば市 研究学園 5-6-6 D12ビル105,飲食 / 居酒屋・パブ・バー
日本酒と旬肴 つくば好坊 ,つくば市 研究学園 5-8-3 アルファビル1F,飲食 / 居酒屋・パブ・バー
串焼き屋 串好 研究学園店,つくば市 研究学園 5-8-3 アルファビル1F,飲食 / 居酒屋・パブ・バー
Bar 7LUCK ,つくば市 研究学園 5-8-3 アルファビル301,飲食 / 居酒屋・パブ・バー
Bar Lucille ,つくば市 研究学園 5-8-4 ホテルベストランド2階,飲食 / 居酒屋・パブ・バー
焼鳥 刺身 八笑 ,つくば市 研究学園 5丁目2-7 OSテナント103号室,飲食 / 居酒屋・パブ・バー
鳥吉 研究学園店,つくば市 研究学園 5丁目6番地6 D12-107,飲食 / 居酒屋・パブ・バー
大衆ジンギスカン酒場 ラム吉 ,つくば市 研究学園 D10街区7画地,飲食 / 居酒屋・パブ・バー
地鶏ともつ鍋 丸九 研究学園店 地鶏ともつ鍋 丸九 研究学園店,つくば市 研究学園5-13-11 MYUMYU  1F,飲食 / 居酒屋・パブ・バー
炭火や shingo 炭火や shingo,つくば市 研究学園5-13-11 MYUMYU201,飲食 / 居酒屋・パブ・バー
おしゃれに食べてやせる肉バル85 おしゃれに食べてやせる肉バル85,つくば市 研究学園5-15-2,飲食 / 居酒屋・パブ・バー
エイティーファイブ エイティーファイブ つくば店,つくば市 研究学園5-15-2 グレーシア201,飲食 / 居酒屋・パブ・バー
やまとや酒場惣吉 つくば店,つくば市 研究学園5-15-8,飲食 / 居酒屋・パブ・バー
鮪と米 研究学園店 鮪と米 研究学園店,つくば市 研究学園5-15-9,飲食 / 居酒屋・パブ・バー
ジンギスカン酒場 ラム吉 ジンギスカン酒場 ラム吉,つくば市 研究学園5-1-7,飲食 / 居酒屋・パブ・バー
小料理・焼酎 牡丹 小料理・焼酎 牡丹,つくば市 研究学園5-6-6 D12ビル202,飲食 / 居酒屋・パブ・バー
つくば肉研究所 つくば肉研究所,つくば市 研究学園5-8-3,飲食 / 居酒屋・パブ・バー
KouShin 炭火やSHINGO,つくば市 研究学園5丁目13−11 2F,飲食 / 居酒屋・パブ・バー
シャブシャブアキラ シャブシャブアキラ,つくば市 研究学園5丁目14-3 リベルタビル1階,飲食 / 居酒屋・パブ・バー
モッツバー高の家 研究学園店 研究学園店,つくば市 研究学園5丁目15番地9,飲食 / 居酒屋・パブ・バー
ワイン食堂 パッチョ研究学園店 ワイン食堂 パッチョ研究学園店,つくば市 研究学園D10街区7画地,飲食 / 居酒屋・パブ・バー
カフェアンドダイニングラルーチェ 珈琲倶楽部なかやま,つくば市 古来1420-1,飲食 / 居酒屋・パブ・バー
八千代 八千代,つくば市 古来1614-3,飲食 / 居酒屋・パブ・バー
青山がらり つくば店 ,つくば市 吾妻 1-6-1 Q't3F,飲食 / 居酒屋・パブ・バー
ワインとピザ ビストロ ポリッツァ ,つくば市 吾妻 1-8-10 Biviつくば,飲食 / 居酒屋・パブ・バー
握りと串天ぷら 六 つくば駅前店,つくば市 吾妻 1-8-10 BiViつくば3F,飲食 / 居酒屋・パブ・バー
REAL REAL,つくば市 吾妻 3-18-7 ミライエ吾妻102,飲食 / 居酒屋・パブ・バー
カラオケバーB&G 天久保本店,つくば市 吾妻 クラウン松見A306,飲食 / 居酒屋・パブ・バー
樓外樓グループ 学園店,つくば市 吾妻1-5-3 MOGビル 3F,飲食 / 居酒屋・パブ・バー
樓外樓グループ ニューヨークステーキハウス,つくば市 吾妻1-6-1 トナリエつくば 1階フードコート,飲食 / 居酒屋・パブ・バー
びすとろ椿々Biviつくば駅前店 びすとろ椿々Biviつくば駅前店,つくば市 吾妻1-8-10,飲食 / 居酒屋・パブ・バー
つくば肉うどん酒場 阿僧祇 つくば肉うどん酒場 阿僧祇,つくば市 吾妻1-8-10 Biviつくば 3F,飲食 / 居酒屋・パブ・バー
ビストロ ポリッツァ ビストロ ポリッツァ,つくば市 吾妻1-8-10 Biviつくば2F,飲食 / 居酒屋・パブ・バー
樓外樓グループ 別館 Biviつくば,つくば市 吾妻1-8-10 Biviつくば3階,飲食 / 居酒屋・パブ・バー
Brasserie NOMAE Brasserie NOMAE,つくば市 吾妻1丁目8-10 BiVi3階,飲食 / 居酒屋・パブ・バー
ごはん屋八十八 ごはん屋八十八,つくば市 吾妻3-7-1 パレス柴原103,飲食 / 居酒屋・パブ・バー
鳥駕 鳥駕,つくば市 吾妻3丁目12-1,飲食 / 居酒屋・パブ・バー
カフェバーディ カフェバーディ,つくば市 香取台B32街区7,飲食 / 居酒屋・パブ・バー
CATLOAF CAFE CATLOAF CAFE,つくば市 香取台B56-16,飲食 / 居酒屋・パブ・バー
串焼場千草 ,つくば市 高見原 1-5-22,飲食 / 居酒屋・パブ・バー
居酒屋 金太郎 ,つくば市 高見原 2-1-60,飲食 / 居酒屋・パブ・バー
まるなかふぇ まるなかふぇ,つくば市 高見原1-6-2,飲食 / 居酒屋・パブ・バー
バスティーユ バスティーユ,つくば市 高見原2-10-82,飲食 / 居酒屋・パブ・バー
AMERICAN DINER WISTERIA ,つくば市 高崎 712-2,飲食 / 居酒屋・パブ・バー
DINER WISTERIA DINER WISTERIA,つくば市 高崎712-2,飲食 / 居酒屋・パブ・バー
casanero casanero,つくば市 今鹿島129-7,飲食 / 居酒屋・パブ・バー
カーサネロ カーサネロ,つくば市 今鹿島129-7,飲食 / 居酒屋・パブ・バー
JOURNAL JOURNAL,つくば市 今鹿島4869-1,飲食 / 居酒屋・パブ・バー
アンドリュー アンドリュー,つくば市 佐512-3,飲食 / 居酒屋・パブ・バー
和粋喜隆べえ ,つくば市 桜 3-18-1,飲食 / 居酒屋・パブ・バー
Banzai naporitan Banzai naporitan,つくば市 桜3丁目8-4 アグレアーブル103,飲食 / 居酒屋・パブ・バー
そば処 天翔 そば処 天翔,つくば市 自由ケ丘974-10,飲食 / 居酒屋・パブ・バー
牡丹園ハーヴェストカフェ 牡丹園ハーヴェストカフェ,つくば市 若栗500,飲食 / 居酒屋・パブ・バー
鉄板屋やんちょ 鉄板屋やんちょ,つくば市 手代木261-12,飲食 / 居酒屋・パブ・バー
ジンホア つくば松代店 ジンホア つくば松代店,つくば市 手代木261-7,飲食 / 居酒屋・パブ・バー
酒食ミナキ 酒食みなき,つくば市 春日 4-12-3 コーポ星丸 B-101,飲食 / 居酒屋・パブ・バー
東京バル ガーデンテラス 東京バル ガーデンテラス,つくば市 春日1-2 グローバルゲストハウス,飲食 / 居酒屋・パブ・バー
いの瀬凜 いの瀬凜,つくば市 春日2-12-8,飲食 / 居酒屋・パブ・バー
焼肉しゃぶしゃぶれんが亭つくば店 焼肉しゃぶしゃぶれんが亭つくば店,つくば市 春日4-1-1,飲食 / 居酒屋・パブ・バー
SPRING FIELD SPRING FIELD,つくば市 春日4-16-22 HARUビル1F,飲食 / 居酒屋・パブ・バー
CLASSIC KITCHEN CLASSIC KITCHEN,つくば市 春風台6番6 エススペース101号,飲食 / 居酒屋・パブ・バー
BAR-KIN BAR-KIN,つくば市 春風台A36街区4,飲食 / 居酒屋・パブ・バー
順鮨 順鮨,つくば市 小野崎170−1,飲食 / 居酒屋・パブ・バー
博多もつ鍋・串焼 一九 つくば総本店,つくば市 小野崎177-4,飲食 / 居酒屋・パブ・バー
竈 竈,つくば市 小野崎303-13,飲食 / 居酒屋・パブ・バー
Ristorante LA CICCIA LA CICCIA,つくば市 小野崎433-1,飲食 / 居酒屋・パブ・バー
レミーのハンバーグ食堂 ,つくば市 松代 1-7-8,飲食 / 居酒屋・パブ・バー
Cafe&Bar408 ,つくば市 松代 2-7-2 瀬尾ビル201,飲食 / 居酒屋・パブ・バー
ひらりつくば松代店 ひらりつくば松代店,つくば市 松代1-13-9,飲食 / 居酒屋・パブ・バー
パティスリーアランマリー パティスリーアランマリー,つくば市 松代1-21-17,飲食 / 居酒屋・パブ・バー
Appetito Appetito,つくば市 松代1-3-6,飲食 / 居酒屋・パブ・バー
酒呑童子 ,つくば市 松野木 143-5,飲食 / 居酒屋・パブ・バー
海鮮や辰海 つくば店,つくば市 松野木 99-34,飲食 / 居酒屋・パブ・バー
うまいもん処 つくば店,つくば市 松野木152-44,飲食 / 居酒屋・パブ・バー
鳥吉 谷田部店,つくば市 上横場 2011-19,飲食 / 居酒屋・パブ・バー
居酒屋漁火 居酒屋 漁火,つくば市 上横場 2427-2,飲食 / 居酒屋・パブ・バー
Moccafe Moccafe,つくば市 上横場1046-1,飲食 / 居酒屋・パブ・バー
魚と肴 とおるの台所 ,つくば市 上横場2287ー1,飲食 / 居酒屋・パブ・バー
イタリアンレストランカサノバ桜店 イタリアンレストランカサノバ桜店,つくば市 上境295-3,飲食 / 居酒屋・パブ・バー
魚梅本店 魚梅本店,つくば市 上郷1367-1,飲食 / 居酒屋・パブ・バー
アオニサイカフェ アオニサイカフェ,つくば市 上郷2223-1,飲食 / 居酒屋・パブ・バー
キッチンゴーゴー キッチンゴーゴー,つくば市 上郷6377ー3,飲食 / 居酒屋・パブ・バー
はずみ ,つくば市 森の里 47-7,飲食 / 居酒屋・パブ・バー
とんかつ笹 とんかつ笹,つくば市 真瀬1512-44,飲食 / 居酒屋・パブ・バー
ひだまりカフェ ひだまりカフェ,つくば市 陣場F4-5,飲食 / 居酒屋・パブ・バー
カフェわがや カフェわがや,つくば市 水堀550-1,飲食 / 居酒屋・パブ・バー
ファミリーイタリアン ガスパロ 幸せを運ぶヨウム店,つくば市 西岡 243−3,飲食 / 居酒屋・パブ・バー
趙家キムチ・白飯家 趙家キムチ・白飯家,つくば市 西平塚 265-1,飲食 / 居酒屋・パブ・バー
TABLE TABLE,つくば市 千現2-1-6,飲食 / 居酒屋・パブ・バー
食楽居家ゆおん 食楽居家ゆおん,つくば市 大曽根3412-1,飲食 / 居酒屋・パブ・バー
カラオケ華 ,つくば市 谷田部 1200-1,飲食 / 居酒屋・パブ・バー
洋風居酒屋カルム ,つくば市 谷田部 2122-3,飲食 / 居酒屋・パブ・バー
